"Abrangência";"Quantitativo";"%";
"CENTRO-OESTE";"10.238.050";"7,168"
"NORDESTE";"38.269.533";"26,795"
"NORTE";"10.801.178";"7,563"
"SUDESTE";"62.041.794";"43,440"
"SUL";"21.117.307";"14,786"
"EXTERIOR";"354.184";"0,248"
"Total Geral";"142.822.046";""
