"Seletores";"Cargo";"Quantitativo";"%";
"Eleição: Eleições Gerais 2014 - 1º Turno - 05/10/2014 Abrangência: Região - Situação: Todas  NORTE";"Governador";"41";"0,92"
"";"Vice-governador";"43";"0,97"
"";"Senador";"47";"1,06"
"";"Deputado Federal";"716";"16,10"
"";"Deputado Estadual";"3.488";"78,42"
"";"Senador 1º Suplente";"54";"1,21"
"";"Senador 2º Suplente";"59";"1,33"
"Subtotal";"";"4.448";""
"Total Geral";"";"4.448";""
