"Seletores";"Cargo";"Quantitativo";"%";
"Eleição: Eleições Gerais 2014 - 1º Turno - 05/10/2014 Abrangência: Região - Situação: Todas  SUL";"Governador";"24";"0,80"
"";"Vice-governador";"26";"0,87"
"";"Senador";"23";"0,77"
"";"Deputado Federal";"817";"27,21"
"";"Deputado Estadual";"2.062";"68,66"
"";"Senador 1º Suplente";"25";"0,83"
"";"Senador 2º Suplente";"26";"0,87"
"Subtotal";"";"3.003";""
"Total Geral";"";"3.003";""
